"","input","filtered","denoisedF","denoisedR","merged","nonchim"
"1_1",40437,31044,28825,28855,24434,24235
"1_2",44735,33424,31223,30897,25951,25539
"1_3",40114,31303,28944,29070,24488,24205
"2_1",39984,32148,29659,29568,25331,24827
"2_2",43128,33116,30448,30328,25644,24934
"2_3",43158,32784,30223,29979,25557,25072
"3_1",37316,28387,26435,26333,21925,21840
"3_2",40927,30735,28476,28471,23694,23557
"3_3",37114,28056,26213,26128,22321,22252
"4_1",34714,27224,25034,24952,21627,21474
"4_2",38032,29113,26755,26584,22516,22239
"4_3",33827,26465,24136,23976,20439,20210
"5_1",59058,45360,42393,42417,36367,35766
"5_2",46740,36081,33556,33566,28476,28259
"5_3",33537,25836,23883,23877,19876,19755
"6_1",44580,34122,31404,31307,26988,26642
"6_2",38109,29597,27353,27118,23222,23047
"6_3",43078,32748,30282,30105,25878,25638
"7_1",37803,28625,26539,26571,22217,22164
"7_2",44298,33205,30961,31025,25958,25707
"7_3",69977,53629,50194,50302,43619,42898
"8_1",35717,27085,24905,24697,21028,20965
"8_2",39233,30555,28245,28076,24123,23884
"8_3",36831,28050,25787,25581,21732,21509
