"","input","filtered","denoisedF","denoisedR","merged","nonchim"
"Dung1_1_S221",108120,78178,77548,77576,76661,76608
"Dung1_2_S222",61354,45999,45523,45471,44877,44827
"Dung1_3_S223",61577,42492,41920,41829,41246,41219
"Dung2_1_S224",63470,47573,47121,47046,46530,46203
"Dung2_2_S225",58895,37692,37301,37085,36759,36260
"Dung2_3_S226",82071,50243,49926,49743,49382,49099
"Dung3_1_S227",53124,33762,33281,33202,32754,32725
"Dung3_2_S228",82818,48530,48060,47793,47144,47102
"Dung3_3_S229",110422,82202,81711,81541,80780,80621
"Dung4_1_S230",89649,65087,64605,64426,63806,63352
"Dung4_2_S231",63738,50485,50079,50027,49790,49437
"Dung4_3_S232",59851,44954,44589,44535,44026,43692
"Dung5_1_S233",46431,35642,35192,35090,34488,34429
"Dung5_2_S234",39719,30025,29602,29525,28703,28665
"Dung5_3_S235",56654,35467,35036,34979,34065,34039
"Dung6_1_S236",54329,40570,40171,40147,39807,39570
"Dung6_2_S237",84770,37820,37465,37158,36899,36706
"Dung6_3_S238",50476,25309,25027,24867,24677,24207
"Dung7_1_S239",58845,24595,24246,24013,23691,23671
"Dung7_2_S240",55281,31364,30810,30659,30163,30006
"Dung7_3_S241",50206,37105,36626,36565,36047,36030
"Dung8_1_S242",43253,30428,30093,30057,29784,29585
"Dung8_2_S243",58962,42139,41842,41760,41297,41103
"Dung8_3_S244",77536,58035,57673,57580,56923,56653
