"","MDS1","MDS2"
"1_1",-0.593967102014673,-0.0351870210285042
"1_2",-0.593918214852373,-0.035408705675959
"1_3",-0.593964426748473,-0.0352573425798037
"2_1",0.638590743253037,-0.050463169203255
"2_2",0.638262378061136,-0.0503831681922332
"2_3",0.638248419930046,-0.0505703067818932
"3_1",-0.594072633095307,-0.0354582516934719
"3_2",-0.593954005273633,-0.0353900590010777
"3_3",-0.593861538145744,-0.0352239312175644
"4_1",0.638333738907868,-0.0507725873193075
"4_2",0.104774264961619,0.980209728141783
"4_3",0.638435976703963,-0.0502844114833446
"5_1",-0.593873944846893,-0.0354638061770876
"5_2",-0.59380159093193,-0.035383052295587
"5_3",-0.593937014910001,-0.0353106799891564
"6_1",0.638499918643351,-0.0504251195247767
"6_2",0.638478049120888,-0.050576943156622
"6_3",0.638501865097884,-0.050642853236768
"7_1",-0.593820407432354,-0.0352829464334933
"7_2",-0.593877181859045,-0.0355458190541964
"7_3",-0.593832652129886,-0.0355365114481254
"8_1",0.638272220646424,-0.0506558808954342
"8_2",0.63832657100571,-0.0504350495297712
"8_3",0.638156565908387,-0.05055211222435
