"","ASV","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV1","ASV1",113.713828857592,10.1803410388834,1.0496691226116,9.69861913586113,3.05606523449518e-22,4.37869166378108e-20,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Unclassified","Unclassified"
"ASV3","ASV3",26.0406190588508,-8.23693460138063,1.06784012580265,-7.7136402747455,1.22278818956308e-14,1.91818090503544e-13,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium","Unclassified"
"ASV11","ASV11",1116.79033559299,0.909453354825009,0.400347557793201,2.27165955460826,0.0231070808332669,0.0396424230809259,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Pseudarthrobacter","Unclassified"
"ASV69","ASV69",7.10924562152959,6.18165407656376,2.14077173588667,2.88758206815704,0.00388215316498941,0.00887484892240856,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Caenimonas","Unclassified"
"ASV74","ASV74",330.447727684317,0.944730752014545,0.411038364397013,2.29840042644304,0.0215390092709588,0.0376429414361616,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Pseudarthrobacter","Unclassified"
"ASV78","ASV78",211.65073538915,5.6869118937209,1.21224054811255,4.69124044941027,2.715536047602e-06,1.30206472026045e-05,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Unclassified"
"ASV108","ASV108",219.353855284777,1.46966567480974,0.435224094659007,3.37680218729894,0.000733337687392193,0.00207779011427788,"Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Unclassified","Unclassified"
"ASV112","ASV112",205.474639077226,-1.13600393851398,0.437367856121728,-2.59736494718031,0.00939420542270983,0.0184917517268078,"Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Paenisporosarcina","Unclassified"
"ASV113","ASV113",292.988151200393,-1.40263190324446,0.4365607614848,-3.21291336049975,0.0013139591968888,0.00344132170613735,"Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Solibacillus","Unclassified"
"ASV131","ASV131",20.3860485328163,-7.88394977128496,1.08960068887886,-7.23563214648582,4.633657035099e-13,4.92326059979269e-12,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","IS-44","Unclassified"
"ASV162","ASV162",7.9699865207595,-6.5288792089192,1.23927672594237,-5.268298090529,1.376943819665e-07,7.85025897187058e-07,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter","Unclassified"
"ASV164","ASV164",22.0082094358197,-7.99425026340179,1.07020962149786,-7.4697985355552,8.03176931832202e-14,1.05770483276494e-12,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Unclassified"
"ASV189","ASV189",4.91441677849673,5.64922795131409,2.13527535474748,2.64566719170613,0.00815299859306586,0.0163936638376701,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","TRA3-20","Unclassified","Unclassified"
"ASV192","ASV192",84.5611198661433,1.33413128769228,0.609194544178105,2.18999217974321,0.0285248039804475,0.046464619724248,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Noviherbaspirillum","Noviherbaspirillum_suwonense"
"ASV193","ASV193",6.41462569496372,6.03221870799086,1.24230801744682,4.85565465510578,1.19989662088098e-06,6.00374543589617e-06,"Bacteria","Planctomycetota","Planctomycetes","Isosphaerales","Isosphaeraceae","Aquisphaera","Unclassified"
"ASV211","ASV211",182.233385289393,-11.0438987110617,1.04908717585406,-10.5271506174603,6.47652941755276e-26,6.05555500541183e-23,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Unclassified","Unclassified"
"ASV212","ASV212",6.64250242624728,-6.26610856430358,2.13588839159638,-2.93372471565345,0.00334921112517489,0.00778983184586698,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Candidatus Udaeobacter","Unclassified"
"ASV213","ASV213",6.93507145788591,6.14450511457368,2.14749754154405,2.86123965020037,0.00421987935635099,0.00950657519624279,"Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Unclassified","Unclassified"
"ASV217","ASV217",143.910850200913,10.5201184201716,1.04859974026725,10.0325396013262,1.09659159390937e-23,5.12656570152629e-21,"Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Kribbella","Unclassified"
"ASV221","ASV221",157.999457761965,-2.52048061479823,0.428194402177084,-5.88629977875297,3.94937685780564e-09,2.73530915707279e-08,"Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae","Unclassified","Unclassified"
"ASV226","ASV226",22.8204944107711,4.47201877193836,1.50696456814713,2.96756729817271,0.00300166563848299,0.00706941403521812,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Ramlibacter","Unclassified"
"ASV229","ASV229",26.08942158813,8.05671703927542,1.06531558730388,7.56275148443615,3.94631138880373e-14,5.42617815960513e-13,"Bacteria","Proteobacteria","Alphaproteobacteria","Micropepsales","Micropepsaceae","Unclassified","Unclassified"
"ASV255","ASV255",115.115373170372,10.1980259501088,1.05226957802794,9.69145755332099,3.27816488197514e-22,4.37869166378108e-20,"Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Amycolatopsis","Unclassified"
"ASV282","ASV282",8.14905552772458,6.37829685345299,1.79849194694365,3.54646950979806,0.000390429919593023,0.00122500662691099,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Unclassified","Unclassified"
"ASV300","ASV300",31.9364151547715,8.34821944438947,1.06010874820513,7.87487081728533,3.41095102264682e-15,5.90599852995329e-14,"Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","Unclassified","Unclassified"
"ASV311","ASV311",4.7035861974945,5.58541720425848,1.79624741485107,3.10949213236395,0.0018740927562596,0.004685231890649,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter","Unclassified"
"ASV337","ASV337",83.0459591206335,9.726965159515,1.05186228171876,9.24737518263412,2.30073013019906e-20,2.3849306285496e-18,"Bacteria","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Unclassified","Unclassified"
