"ASV","log2FoldChange","deseq_pvalue","deseq_padj","wilcox_pvalue","wilcox_padj","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV1",10.1803410388834,3.05606523449518e-22,4.37869166378108e-20,1.02689156151545e-05,0.000246762042232163,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Unclassified","Unclassified"
"ASV3",-8.23693460138063,1.22278818956308e-14,1.91818090503544e-13,1.02689156151545e-05,0.000246762042232163,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium","Unclassified"
"ASV11",0.909453354825009,0.0231070808332669,0.0396424230809259,7.39602301050679e-07,0.000246762042232163,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Pseudarthrobacter","Unclassified"
"ASV74",0.944730752014545,0.0215390092709588,0.0376429414361616,3.64420272924621e-05,0.000528162637153206,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Pseudarthrobacter","Unclassified"
"ASV78",5.6869118937209,2.715536047602e-06,1.30206472026045e-05,2.23371780734926e-05,0.000475010963810644,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Unclassified"
"ASV108",1.46966567480974,0.000733337687392193,0.00207779011427788,3.64420272924621e-05,0.000528162637153206,"Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Unclassified","Unclassified"
"ASV112",-1.13600393851398,0.00939420542270983,0.0184917517268078,0.000656553002190306,0.00555527064881446,"Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Paenisporosarcina","Unclassified"
"ASV113",-1.40263190324446,0.0013139591968888,0.00344132170613735,9.70057168601521e-05,0.00130226110399411,"Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Solibacillus","Unclassified"
"ASV131",-7.88394977128496,4.633657035099e-13,4.92326059979269e-12,1.0217071642797e-05,0.000246762042232163,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","IS-44","Unclassified"
"ASV162",-6.5288792089192,1.376943819665e-07,7.85025897187058e-07,3.57113332893742e-05,0.000528162637153206,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter","Unclassified"
