"","Kingdom","Phylum","Class","Order","Family","Genus","Species","Abundance","Prevalence","Total_Abundance","Percentage"
"1","Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae","Tellurimicrobium","Tellurimicrobium_multivorans",69,5,26224,0.263117754728493
"2","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Nocardia","Nocardia_ninae",11,1,26224,0.0419463087248322
"3","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus","Rhodococcus_jostii",355,12,26224,1.35372178157413
"4","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Nakamurellaceae","Nakamurella","Nakamurella_flavida",10,1,26224,0.0381330079316657
"5","Bacteria","Actinobacteriota","Actinobacteria","Kineosporiales","Kineosporiaceae","Kineosporia","Kineosporia_rhamnosa",15,2,26224,0.0571995118974985
"6","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Agromyces","Agromyces_ramosus",46,3,26224,0.175411836485662
"7","Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","Actinoplanes","Actinoplanes_atraurantiacus",10,1,26224,0.0381330079316657
"8","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Aeromicrobium","Aeromicrobium_ginsengisoli",16,1,26224,0.061012812690665
"9","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Aeromicrobium","Aeromicrobium_panaciterrae",29,1,26224,0.11058572300183
"10","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","Nocardioides_islandensis",626,11,26224,2.38712629652227
"11","Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Actinophytocola","Actinophytocola_xanthii",8,1,26224,0.0305064063453325
"12","Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Amycolatopsis","Amycolatopsis_nigrescens",68,1,26224,0.259304453935326
"13","Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Amycolatopsis","Amycolatopsis_saalfeldensis",194,5,26224,0.739780353874314
"14","Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Pseudonocardia","Pseudonocardia_adelaidensis",49,3,26224,0.186851738865162
"15","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Conexibacter","Conexibacter_woesei",32,1,26224,0.12202562538133
"16","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter","Solirubrobacter_phytolaccae",177,3,26224,0.674954240390482
"17","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Aurantisolimonas","Aurantisolimonas_haloimpatiens",482,13,26224,1.83801098230628
"18","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Chitinophaga","Chitinophaga_arvensicola",57,2,26224,0.217358145210494
"19","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Chitinophaga","Chitinophaga_rupis",13,1,26224,0.0495729103111653
"20","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavisolibacter","Flavisolibacter_ginsengisoli",149,4,26224,0.568181818181818
"21","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavisolibacter","Flavisolibacter_ginsengiterrae",54,1,26224,0.205918242830994
"22","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavisolibacter","Flavisolibacter_rigui",537,21,26224,2.04774252593045
"23","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavitalea","Flavitalea_gansuensis",521,9,26224,1.98672971323978
"24","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Segetibacter","Segetibacter_koreensis",330,7,26224,1.25838926174497
"25","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Terrimonas","Terrimonas_arctica",311,9,26224,1.1859365466748
"26","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Terrimonas","Terrimonas_crocea",185,5,26224,0.705460646735815
"27","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Hymenobacteraceae","Adhaeribacter","Adhaeribacter_terrae",59,2,26224,0.224984746796827
"28","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Hymenobacteraceae","Hymenobacter","Hymenobacter_gelipurpurascens",187,9,26224,0.713087248322148
"29","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Spirosomaceae","Dyadobacter","Dyadobacter_sediminis",27,2,26224,0.102959121415497
"30","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium_saccharophilum",75,5,26224,0.285997559487492
"31","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter","Mucilaginibacter_aquaedulcis",42,1,26224,0.160158633312996
"32","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter","Mucilaginibacter_calamicampi",9,1,26224,0.0343197071384991
"33","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter","Mucilaginibacter_lappiensis",101,3,26224,0.385143380109823
"34","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter","Mucilaginibacter_pineti",164,6,26224,0.625381330079317
"35","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter","Mucilaginibacter_rigui",412,12,26224,1.57107992678462
"36","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Olivibacter","Olivibacter_soli",39,3,26224,0.148718730933496
"37","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","Pedobacter_bambusae",165,6,26224,0.629194630872483
"38","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","Pedobacter_edaphicus",92,2,26224,0.350823672971324
"39","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","Pedobacter_lotistagni",47,2,26224,0.179225137278829
"40","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","Pedobacter_panaciterrae",391,5,26224,1.49100061012813
"41","Bacteria","Bdellovibrionota","Oligoflexia","Oligoflexales","Oligoflexaceae","Oligoflexus","Oligoflexus_tunisiensis",24,4,26224,0.0915192190359976
"42","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Rummeliibacillus","Rummeliibacillus_pycnus",13,1,26224,0.0495729103111653
"43","Bacteria","Firmicutes","Bacilli","Brevibacillales","Brevibacillaceae","Brevibacillus","Brevibacillus_ginsengisoli",19,1,26224,0.0724527150701647
"44","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus","Paenibacillus_alginolyticus",85,3,26224,0.324130567419158
"45","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus","Paenibacillus_edaphicus",161,6,26224,0.613941427699817
"46","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus","Paenibacillus_ihuae",16,2,26224,0.061012812690665
"47","Bacteria","Firmicutes","Bacilli","Thermoactinomycetales","Thermoactinomycetaceae","Lihuaxuella","Lihuaxuella_thermophila",72,4,26224,0.274557657107993
"48","Bacteria","Firmicutes","Bacilli","Thermoactinomycetales","Thermoactinomycetaceae","Polycladomyces","Polycladomyces_subterraneus",9,1,26224,0.0343197071384991
"49","Bacteria","Firmicutes","Bacilli","Thermoactinomycetales","Thermoactinomycetaceae","Shimazuella","Shimazuella_kribbensis",48,4,26224,0.183038438071995
"50","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Sporacetigenium","Sporacetigenium_mesophilum",54,7,26224,0.205918242830994
"51","Bacteria","Firmicutes","Desulfitobacteriia","Desulfitobacteriales","Desulfitobacteriaceae","Desulfosporosinus","Desulfosporosinus_fructosivorans",23,2,26224,0.087705918242831
"52","Bacteria","Myxococcota","Polyangia","Polyangiales","Polyangiaceae","Aetherobacter","Aetherobacter_rufus",880,22,26224,3.35570469798658
"53","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","Nitrospira_japonica",2226,12,26224,8.48840756558877
"54","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","Nitrospira_nitrificans",10,1,26224,0.0381330079316657
"55","Bacteria","Planctomycetota","Planctomycetes","Isosphaerales","Isosphaeraceae","Singulisphaera","Singulisphaera_acidiphila",13,1,26224,0.0495729103111653
"56","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Roseomonas","Roseomonas_aquatica",14,1,26224,0.0533862111043319
"57","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Roseomonas","Roseomonas_ludipueritiae",61,5,26224,0.23261134838316
"58","Bacteria","Proteobacteria","Alphaproteobacteria","Azospirillales","Azospirillaceae","Skermanella","Skermanella_aerolata",3003,24,26224,11.4513422818792
"59","Bacteria","Proteobacteria","Alphaproteobacteria","Azospirillales","Azospirillaceae","Skermanella","Skermanella_stibiiresistens",2245,12,26224,8.56086028065894
"60","Bacteria","Proteobacteria","Alphaproteobacteria","Azospirillales","Inquilinaceae","Inquilinus","Inquilinus_ginsengisoli",129,9,26224,0.491915802318487
"61","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium","Phenylobacterium_mobile",118,4,26224,0.449969493593655
"62","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Microvirga","Microvirga_aerilata",1725,21,26224,6.57794386821232
"63","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia","Devosia_geojensis",281,8,26224,1.0715375228798
"64","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia","Devosia_limi",179,9,26224,0.682580841976815
"65","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia","Devosia_submarina",18,1,26224,0.0686394142769982
"66","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Aureimonas","Aureimonas_glaciei",10,1,26224,0.0381330079316657
"67","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales Incertae Sedis","Alsobacter","Alsobacter_metallidurans",262,12,26224,0.99908480780964
"68","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales Incertae Sedis","Nordella","Nordella_oligomobilis",35,3,26224,0.13346552776083
"69","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Tardiphaga","Tardiphaga_robiniae",374,11,26224,1.4261744966443
"70","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Porphyrobacter","Porphyrobacter_tepidarius",76,5,26224,0.289810860280659
"71","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas_crusticola",150,5,26224,0.571995118974985
"72","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas_daechungensis",801,12,26224,3.05445393532642
"73","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas_flava",152,4,26224,0.579621720561318
"74","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas_jaspsi",183,6,26224,0.697834045149481
"75","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas_sediminicola",1334,14,26224,5.0869432580842
"76","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Ramlibacter","Ramlibacter_alkalitolerans",78,2,26224,0.297437461866992
"77","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Methylophilaceae","Methylotenera","Methylotenera_versatilis",76,6,26224,0.289810860280659
"78","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","Nitrosospira","Nitrosospira_multiformis",2520,24,26224,9.60951799877974
"79","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","Massilia_aerilata",43,1,26224,0.163971934106162
"80","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Noviherbaspirillum","Noviherbaspirillum_suwonense",2124,23,26224,8.09945088468578
"81","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Cellvibrionaceae","Cellvibrio","Cellvibrio_gandavensis",18,1,26224,0.0686394142769982
"82","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Cellvibrionaceae","Cellvibrio","Cellvibrio_zantedeschiae",111,5,26224,0.423276388041489
"83","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae","Steroidobacter","Steroidobacter_flavus",110,9,26224,0.419463087248322
"84","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Rhodanobacter","Rhodanobacter_thiooxydans",45,4,26224,0.171598535692495
"85","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter","Lysobacter_spongiicola",47,2,26224,0.179225137278829
"86","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Thermomonas","Thermomonas_brevis",36,1,26224,0.137278828553996
"87","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Opitutaceae","Lacunisphaera","Lacunisphaera_anatis",39,3,26224,0.148718730933496
"88","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Opitutaceae","Lacunisphaera","Lacunisphaera_limnophila",10,1,26224,0.0381330079316657
