"","MDS1","MDS2"
"Dung1_1_S221",-0.657580482355279,0.000117299893888919
"Dung1_2_S222",-0.657536100015619,1.87791343131059e-05
"Dung1_3_S223",-0.657581152094412,0.000101171302743358
"Dung2_1_S224",0.657634301848276,0.000202590282543334
"Dung2_2_S225",0.657794194848751,-0.000262196503538134
"Dung2_3_S226",0.657658042461219,-8.47506417056828e-05
"Dung3_1_S227",-0.657499561942989,-6.18541823968441e-05
"Dung3_2_S228",-0.657456560499159,-2.72287410587803e-05
"Dung3_3_S229",-0.657650301630443,0.000108483983282741
"Dung4_1_S230",0.657653803906067,-7.81094251389913e-05
"Dung4_2_S231",0.657057076854983,0.00234730052904578
"Dung4_3_S232",0.657654162560129,-0.000417049220891595
"Dung5_1_S233",-0.657636128455101,4.72026633831606e-05
"Dung5_2_S234",-0.657613717202482,-2.95949500021907e-05
"Dung5_3_S235",-0.657531264666451,8.16451358426901e-05
"Dung6_1_S236",0.657700354938536,-0.000457869765253181
"Dung6_2_S237",0.657653788103877,-0.000146583409787533
"Dung6_3_S238",0.657084289284661,-0.000742329721035112
"Dung7_1_S239",-0.657727679453849,-0.000151232913979985
"Dung7_2_S240",-0.657657972136017,-0.000163724326188349
"Dung7_3_S241",-0.657692039751329,-4.17145865491283e-05
"Dung8_1_S242",0.657687093683216,-0.000443681245236238
"Dung8_2_S243",0.657832355621042,0.000134640479891353
"Dung8_3_S244",0.657753496092374,-5.11937721726927e-05
