"","ASV","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species","boot.Kingdom","boot.Phylum","boot.Class","boot.Order","boot.Family","boot.Genus","boot.Species"
"ASV5","ASV5",9149.41147923489,3.10051739992891,0.518061244968228,5.98484721650828,2.16593074753411e-09,1.22158494160924e-08,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Unclassified","100","100","100","100","100","100","59"
"ASV15","ASV15",3991.85652446736,-4.42297777599054,0.387586856435548,-11.4115783405726,3.66026626607747e-30,2.0643901740677e-28,"Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","Unclassified","100","100","100","100","100","79","13"
"ASV33","ASV33",2659.47856445894,-2.24063822314818,0.495559209442104,-4.52143392849196,6.14221320643976e-06,2.19253686609622e-05,"Fungi","Ascomycota","Leotiomycetes","Thelebolales","Pseudeurotiaceae","Pseudogymnoascus","Unclassified","100","100","87","87","87","75","48"
"ASV44","ASV44",639.539877835788,1.2009464154112,0.4393537701899,2.73343828344096,0.00626768682497775,0.0119424843557008,"Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Unclassified","Unclassified","100","100","100","100","100","58","58"
"ASV60","ASV60",1410.98623456601,-13.9712407292461,1.02149596825163,-13.6772353131838,1.38873157252772e-42,3.91622303452816e-40,"Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Linnemannia","Linnemannia_hyalina","100","100","100","100","100","100","100"
"ASV78","ASV78",1265.21298589787,-13.8139114987399,1.06377893434861,-12.9856975473938,1.474882713207e-38,2.07958462562188e-36,"Fungi","Basidiomycota","Tremellomycetes","Cystofilobasidiales","Mrakiaceae","Tausonia","Tausonia_pullulans","100","100","100","100","100","100","100"
"ASV97","ASV97",974.987669570465,-5.20383054077511,0.512539213527071,-10.1530388376816,3.21202931033588e-24,8.23447514104289e-23,"Fungi","Ascomycota","Leotiomycetes","Helotiales","Unclassified","Unclassified","Unclassified","100","100","100","100","58","58","42"
"ASV142","ASV142",619.889398055408,-5.96951790188956,1.31749473231327,-4.53096149493383,5.87158407317411e-06,2.1228034726091e-05,"Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Piskurozymaceae","Solicoccozyma","Unclassified","100","100","100","100","100","100","47"
"ASV147","ASV147",598.033178411753,-4.04243643463654,0.981107660506308,-4.12027812783605,3.78415319679572e-05,0.000117267164999604,"Fungi","Basidiomycota","Tremellomycetes","Cystofilobasidiales","Mrakiaceae","Tausonia","Tausonia_pullulans","100","100","100","100","100","100","100"
"ASV156","ASV156",539.958221777714,-3.7582439986317,0.866837448294987,-4.33558103197309,1.45375607254693e-05,4.82304955833217e-05,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Preussia","Preussia_flanaganii","100","100","100","100","100","100","100"
"ASV205","ASV205",360.108116719018,11.8688821521026,1.03208711312965,11.4998840709405,1.32092725064875e-30,9.31253711707367e-29,"Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","Unclassified","100","100","100","100","100","81","47"
"ASV210","ASV210",337.199687621854,5.74746307574164,0.714541551797189,8.0435673212927,8.72602333450611e-16,7.68980806353351e-15,"Fungi","Basidiomycota","Tremellomycetes","Tremellales","Cryptococcaceae","Cryptococcus","Cryptococcus_festucosus","100","100","100","100","100","100","69"
