"ASV","log2FoldChange","deseq_pvalue","deseq_padj","wilcox_pvalue","wilcox_padj","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV5",3.10051739992891,2.16593074753416e-09,1.22158494160927e-08,7.39602301050679e-07,0.000240219275997365,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Unclassified"
"ASV15",-4.42297777599054,3.66026626607762e-30,2.06439017406778e-28,7.39602301050679e-07,0.000240219275997365,"Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","Unclassified"
"ASV33",-2.24063822314818,6.14221320643956e-06,2.19253686609615e-05,2.21880690315204e-05,0.000406412545503824,"Fungi","Ascomycota","Leotiomycetes","Thelebolales","Pseudeurotiaceae","Pseudogymnoascus","Unclassified"
"ASV44",1.2009464154112,0.00626768682497778,0.0119424843557009,4.95533541703955e-05,0.000550126220027272,"Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Unclassified","Unclassified"
"ASV60",-13.9712407292461,1.38873157252761e-42,3.91622303452787e-40,1.02689156151545e-05,0.000240219275997365,"Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Linnemannia","Linnemannia_hyalina"
"ASV78",-13.8139114987399,1.474882713207e-38,2.07958462562188e-36,1.02689156151545e-05,0.000240219275997365,"Fungi","Basidiomycota","Tremellomycetes","Cystofilobasidiales","Mrakiaceae","Tausonia","Tausonia_pullulans"
"ASV97",-5.20383054077512,3.21202931033611e-24,8.23447514104349e-23,3.64420272924621e-05,0.000424446856474987,"Fungi","Ascomycota","Leotiomycetes","Helotiales","Unclassified","Unclassified","Unclassified"
"ASV142",-5.96951790187046,5.87158407357453e-06,2.12280347275387e-05,2.23371780734926e-05,0.000406412545503824,"Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Piskurozymaceae","Solicoccozyma","Unclassified"
"ASV147",-4.04243643463654,3.78415319679574e-05,0.000117267164999604,0.00506945573210994,0.0249661165754287,"Fungi","Basidiomycota","Tremellomycetes","Cystofilobasidiales","Mrakiaceae","Tausonia","Tausonia_pullulans"
"ASV156",-3.7582439986317,1.45375607254696e-05,4.82304955833227e-05,3.60170536866774e-05,0.000424446856474987,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Preussia","Preussia_flanaganii"
"ASV205",11.8688821521026,1.32092725064877e-30,9.31253711707386e-29,1.02689156151545e-05,0.000240219275997365,"Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","Unclassified"
"ASV210",5.74746307574165,8.72602333450611e-16,7.68980806353351e-15,3.58762611672892e-05,0.000424446856474987,"Fungi","Basidiomycota","Tremellomycetes","Tremellales","Cryptococcaceae","Cryptococcus","Cryptococcus_festucosus"
"ASV211",5.61435161043352,2.66284743348074e-11,1.78791184819421e-10,3.5040528766866e-05,0.000424446856474987,"Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Naganishia","Unclassified"
"ASV234",-8.30198227164725,3.32668394074949e-15,2.75919079791575e-14,2.60429556087905e-05,0.000424446856474987,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Cucurbitariaceae","Pyrenochaetopsis","Unclassified"
"ASV258",-11.7018993639862,4.41479300255539e-27,1.77853089531517e-25,1.02689156151545e-05,0.000240219275997365,"Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Heydenia","Unclassified"
"ASV265",4.76912656293857,0.00132832089461102,0.00294949993921503,1.41913958889126e-05,0.000299850461523799,"Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Naganishia","Naganishia_globosa"
"ASV272",-4.25583978262503,0.00306117116048936,0.00649060351321805,0.00122926434954298,0.00745526063843194,"Fungi","Basidiomycota","Tremellomycetes","Cystofilobasidiales","Mrakiaceae","Tausonia","Tausonia_pullulans"
"ASV296",11.0872470887118,3.19529762512197e-27,1.50178988380733e-25,1.02689156151545e-05,0.000240219275997365,"Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Naganishia","Naganishia_albida"
"ASV331",10.9533057579175,1.09364159340622e-22,2.05604619560369e-21,1.02689156151545e-05,0.000240219275997365,"Fungi","Ascomycota","Leotiomycetes","Helotiales","Unclassified","Unclassified","Unclassified"
