"","Kingdom","Phylum","Class","Order","Family","Genus","Abundance","Prevalence","Total_Abundance","Percentage"
"1","Fungi","Aphelidiomycota","Aphelidiomycetes","Aphelidiomycetes_ord_Incertae_sedis","Aphelidiomycetes_fam_Incertae_sedis","Aphelidiomycetes_gen_Incertae_sedis",21,2,958783,0.00219027663193861
"2","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium",1510,20,958783,0.15749131972511
"3","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothioraceae","Pringsheimia",110,7,958783,0.0114728775958689
"4","Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae","Aureobasidium",382,11,958783,0.0398421749238357
"5","Fungi","Ascomycota","Dothideomycetes","Dothideomycetes_ord_Incertae_sedis","Dothideomycetes_fam_Incertae_sedis","Pseudoarthrographis",10,1,958783,0.00104298887235172
"6","Fungi","Ascomycota","Dothideomycetes","Microthyriales","Microthyriales_fam_Incertae_sedis","Microthyriales_gen_Incertae_sedis",24,2,958783,0.00250317329364413
"7","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Teratosphaeriaceae","Elasticomyces",15,1,958783,0.00156448330852758
"8","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Amniculicolaceae","Murispora",1202,13,958783,0.125367262456677
"9","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Cucurbitariaceae","Pyrenochaetopsis",8069,17,958783,0.841587721100604
"10","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Neoascochyta",31,4,958783,0.00323326550429034
"11","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Pseudopithomyces",68,5,958783,0.0070923243319917
"12","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae","Darksidea",190,3,958783,0.0198167885746827
"13","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae","Keissleriella",193,7,958783,0.0201296852363882
"14","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Leptosphaeriaceae","Leptosphaeria",32,4,958783,0.00333756439152551
"15","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiostomataceae","Lophiostoma",827,11,958783,0.0862551797434873
"16","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Neopyrenochaetaceae","Neopyrenochaeta",6,1,958783,0.000625793323411032
"17","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Chaetosphaeronema",4798,12,958783,0.500426060954356
"18","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Dematiopleospora",12,2,958783,0.00125158664682206
"19","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Neosetophoma",1545,15,958783,0.161141780778341
"20","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Neostagonospora",41,2,958783,0.00427625437664206
"21","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Ophiosphaerella",1896,24,958783,0.197750690197886
"22","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Paraphoma",1914,13,958783,0.199628070168119
"23","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeosphaeria",113,9,958783,0.0117857742575744
"24","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Septoriella",628,17,958783,0.0654997011836881
"25","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleomassariaceae","Tumularia",10,1,958783,0.00104298887235172
"26","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria",239819,24,958783,25.0128548378517
"27","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Bipolaris",74,7,958783,0.00771811765540273
"28","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Comoclathris",21,1,958783,0.00219027663193861
"29","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Curvularia",10,1,958783,0.00104298887235172
