"","Kingdom","Phylum","Class","Order","Family","Genus","Species","Abundance","Prevalence","Total_Abundance","Percentage"
"1","Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae","Aureobasidium","Aureobasidium_pullulans",205,7,305864,0.0670232521643606
"2","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Teratosphaeriaceae","Elasticomyces","Elasticomyces_elasticus",15,1,305864,0.00490414040227029
"3","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Cucurbitariaceae","Pyrenochaetopsis","Pyrenochaetopsis_decipiens",7,1,305864,0.0022885988543928
"4","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Neoascochyta","Neoascochyta_europaea",31,4,305864,0.0101352234980253
"5","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Pseudopithomyces","Pseudopithomyces_rosae",68,5,305864,0.0222321031569586
"6","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Leptosphaeriaceae","Leptosphaeria","Leptosphaeria_sclerotioides",32,4,305864,0.01046216619151
"7","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiostomataceae","Lophiostoma","Lophiostoma_scrophulariicola",827,11,305864,0.270381607511835
"8","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Neopyrenochaetaceae","Neopyrenochaeta","Neopyrenochaeta_acicola",6,1,305864,0.00196165616090812
"9","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Paraphoma","Paraphoma_fimeti",201,8,305864,0.0657154813904219
"10","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Paraphoma","Paraphoma_ledniceana",1713,12,305864,0.560052833939267
"11","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeosphaeria","Phaeosphaeria_tofieldiae",8,1,305864,0.00261554154787749
"12","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Septoriella","Septoriella_hirta",628,17,305864,0.205320011508383
"13","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria_chlamydosporigena",890,13,305864,0.290978997201371
"14","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria_lolii",44,1,305864,0.0143854785133262
"15","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria_metachromatica",262,6,305864,0.0856589856929877
"16","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria_prunicola",2285,14,305864,0.747064054612508
"17","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Comoclathris","Comoclathris_rosigena",21,1,305864,0.00686579656317841
"18","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Curvularia","Curvularia_inaequalis",10,1,305864,0.00326942693484686
"19","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Edenia","Edenia_gomezpompae",2087,18,305864,0.68232940130254
"20","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Pyrenophora","Pyrenophora_sieglingiae",13,2,305864,0.00425025501530092
"21","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporales_fam_Incertae_sedis","Chalastospora","Chalastospora_gossypii",901,9,305864,0.294575366829702
"22","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pseudolophiotremataceae","Pseudolophiotrema","Pseudolophiotrema_elymicola",27,2,305864,0.00882745272408652
"23","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pseudopyrenochaetaceae","Pseudopyrenochaeta","Pseudopyrenochaeta_terrestris",6,1,305864,0.00196165616090812
"24","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Preussia","Preussia_flanaganii",19120,24,305864,6.2511442994272
"25","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Preussia","Preussia_terricola",541,13,305864,0.176875997175215
"26","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Sporormiella","Sporormiella_intermedia",12,2,305864,0.00392331232181623
"27","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora","Cladophialophora_chaetospira",201,4,305864,0.0657154813904219
"28","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala_crusticola",1686,12,305864,0.551225381215181
"29","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala_equina",83,1,305864,0.0271362435592289
"30","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala_opportunistica",128,2,305864,0.0418486647660398
"31","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Trichomeriaceae","Bacillicladium","Bacillicladium_lobatum",47,1,305864,0.0153663065937802
"32","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Trichomeriaceae","Knufia","Knufia_peltigerae",19,1,305864,0.00621191117620903
"33","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Trichomeriaceae","Knufia","Knufia_tsunedae",3219,12,305864,1.0524285303272
"34","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium_canescens",62,4,305864,0.0202704469960505
"35","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Talaromyces","Talaromyces_rugulosus",141,6,305864,0.0460989197813407
"36","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Talaromyces","Talaromyces_ucrainicus",233,7,305864,0.0761776475819319
"37","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Sagenomella","Sagenomella_oligospora",230,12,305864,0.0751968195014778
"38","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Gymnoascaceae","Arachniotus","Arachniotus_hebridensis",80,2,305864,0.0261554154787749
"39","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Gymnoascaceae","Gymnoascus","Gymnoascus_reessii",27,3,305864,0.00882745272408652
"40","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Onygenaceae","Auxarthron","Auxarthron_umbrinum",6,1,305864,0.00196165616090812
"41","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Onygenaceae","Chrysosporium","Chrysosporium_lobatum",350,9,305864,0.11442994271964
