"ASV","P_Value","Adjusted_P_Value","Kingdom","Phylum","Class","Order","Family","Genus","Species","boot.Kingdom","boot.Phylum","boot.Class","boot.Order","boot.Family","boot.Genus","boot.Species"
"ASV1014",0.00108433256167357,0.00663773670931015,"Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Spooneromyces","Spooneromyces_laeticolor","100","100","99","99","99","93","79"
"ASV1049",0.000381907149960375,0.00295437154009704,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporales_fam_Incertae_sedis","Chalastospora","Chalastospora_gossypii","100","100","100","100","70","70","70"
"ASV106",0.000274392453689802,0.00242874401576784,"Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Dissophora",NA,"100","100","100","100","100","68","51"
"ASV1115",3.68947377147112e-05,0.000424446856474987,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiostomataceae","Lophiostoma","Lophiostoma_scrophulariicola","100","100","100","100","100","93","82"
"ASV1117",0.000383391726577478,0.00295437154009704,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma",NA,"100","100","100","100","100","100","50"
"ASV1152",0.00108433256167357,0.00663773670931015,"Fungi","Chytridiomycota","Spizellomycetes","Spizellomycetales","Powellomycetaceae","Powellomyces","Powellomyces_hirtus","100","100","100","100","100","100","100"
"ASV1171",3.75846071382431e-05,0.000424446856474987,"Fungi","Chytridiomycota","Rhizophlyctidomycetes","Rhizophlyctidales","Rhizophlyctidales_fam_Incertae_sedis","Rhizophlyctidales_gen_Incertae_sedis",NA,"100","100","100","100","100","100","100"
"ASV1187",2.19527191240001e-05,0.000406412545503824,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Neosetophoma",NA,"100","100","100","100","100","96","39"
"ASV1258",0.00108433256167357,0.00663773670931015,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria_chlamydosporigena","100","100","100","100","100","100","82"
"ASV1283",0.00285558548609658,0.0141697613135853,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma",NA,"100","100","100","100","100","100","42"
"ASV1296",3.75846071382431e-05,0.000424446856474987,"Fungi","Chytridiomycota","Rhizophydiomycetes","Rhizophydiales","Rhizophydiales_fam_Incertae_sedis","Rhizophydiales_gen_Incertae_sedis",NA,"86","86","76","76","76","76","76"
"ASV1301",1.02689156151545e-05,0.000240219275997365,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Marasmiaceae","Marasmius",NA,"100","100","100","100","100","100","48"
"ASV1312",0.000445154238248709,0.00339041890759191,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Septoriella","Septoriella_hirta","100","100","100","100","99","65","64"
"ASV1327",3.15936425142143e-05,0.000424446856474987,"Fungi","Mucoromycota","Mucoromycetes","Mucorales","Rhizopodaceae","Rhizopus","Rhizopus_arrhizus","100","100","100","100","100","100","100"
"ASV1354",0.000383391726577478,0.00295437154009704,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma",NA,"100","100","100","100","100","100","43"
"ASV1357",0.00108433256167357,0.00663773670931015,"Fungi","Chytridiomycota","Chytridiomycota_cls_Incertae_sedis","Chytridiomycota_ord_Incertae_sedis","Chytridiomycota_fam_Incertae_sedis","Chytridiomycota_gen_Incertae_sedis",NA,"99","98","60","60","60","60","60"
"ASV142",2.23371780734926e-05,0.000406412545503824,"Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Piskurozymaceae","Solicoccozyma",NA,"100","100","100","100","100","100","47"
"ASV1430",3.74112021791021e-05,0.000424446856474987,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Neosetophoma",NA,"100","100","100","100","100","96","57"
"ASV1458",0.000860575920269184,0.00640542304291268,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Preussia","Preussia_terricola","100","100","100","100","99","98","76"
"ASV1462",0.000381907149960375,0.00295437154009704,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae",NA,NA,"100","100","100","100","100","47","27"
"ASV1466",0.00108433256167357,0.00663773670931015,"Fungi","Chytridiomycota","Chytridiomycota_cls_Incertae_sedis","Chytridiomycota_ord_Incertae_sedis","Chytridiomycota_fam_Incertae_sedis","Chytridiomycota_gen_Incertae_sedis",NA,"100","100","100","100","100","100","100"
"ASV147",0.00506945573210994,0.0249661165754287,"Fungi","Basidiomycota","Tremellomycetes","Cystofilobasidiales","Mrakiaceae","Tausonia","Tausonia_pullulans","100","100","100","100","100","100","100"
"ASV1476",1.02689156151545e-05,0.000240219275997365,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Ophiosphaerella",NA,"100","100","100","100","99","99","53"
