"","ASV","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species","Reference","boot.Kingdom","boot.Phylum","boot.Class","boot.Order","boot.Family","boot.Genus","boot.Species","boot.Reference"
"ASV92","ASV92",80.1268212187472,-26.0191627596126,2.94514320329813,-8.83460020907471,1.00456874954446e-18,3.66667593583727e-17,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Unclassified","Unclassified","100","100","100","100","100"," 93"," 35"," 34"
"ASV94","ASV94",400.881321892491,-28.2776739772602,2.94491462880771,-9.60220500134118,7.82521513068847e-22,5.71240704540258e-20,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Unclassified","Unclassified","Unclassified","100","100","100","100","100"," 28"," 28"," 28"
"ASV107","ASV107",40.0819604158193,-25.1263368806717,2.94542827527959,-8.53062255548783,1.45562233583202e-17,2.57817206378238e-16,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Unclassified","Unclassified","Unclassified","100","100","100"," 79"," 79"," 13","  6","  4"
"ASV111","ASV111",63.6012514485315,-24.8220536875936,2.94521722587094,-8.42791949930057,3.51864976031068e-17,4.28102387504466e-16,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Unclassified","Unclassified","100","100","100","100","100","100"," 19"," 19"
"ASV149","ASV149",17.0751401507896,22.2473519241001,2.94578270527962,7.55227189168671,4.2773036771858e-14,3.12243168434564e-13,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_recalcitrans","oomycetedb_76","100","100","100","100","100","100"," 98"," 98"
"ASV165","ASV165",8.22691821568782,21.7874258459592,2.9467756674119,7.39364929841934,1.42852883943133e-13,8.69021710654059e-13,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Unclassified","Unclassified","100","100","100"," 96"," 96"," 90"," 18"," 18"
"ASV167","ASV167",36.9444624930532,23.8775022394248,2.94528500846362,8.10702603340934,5.18737497369964e-16,5.40969104400105e-15,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_ultimum","oomycetedb_93","100","100","100","100","100","100","100"," 97"
"ASV173","ASV173",56.6730121279757,-25.5540996046001,2.94526137835436,-8.67634356407381,4.0869627088993e-18,9.94494259165496e-17,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_ultimum","oomycetedb_93","100","100","100","100","100"," 96"," 77"," 77"
"ASV183","ASV183",8.53728554186157,21.8379557315672,2.94670728786847,7.41096878589659,1.25380095157752e-13,8.32067904228716e-13,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_oligandrum","oomycetedb_769","100","100","100","100","100"," 99"," 77"," 75"
"ASV185","ASV185",25.804426976153,23.377568141577,2.94546995039746,7.93678718006355,2.07485614757744e-15,1.89330623466441e-14,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Unclassified","Unclassified","100","100","100"," 84"," 84"," 66"," 12"," 12"
"ASV221","ASV221",14.4231504831661,22.5667969010219,2.94595358331059,7.66026899706337,1.85544042376735e-14,1.50496834372241e-13,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_carolinianum","oomycetedb_38","100","100","100","100","100","100"," 99"," 99"
"ASV237","ASV237",6.39629396812113,21.4306864473829,2.94732489064459,7.2712331495616,3.5622050014977e-13,2.00031511622563e-12,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Unclassified","Unclassified","100","100","100","100","100"," 91","  2","  2"
"ASV240","ASV240",38.2282567719299,-25.0606646900413,2.94545671218284,-8.50824409891572,1.76587127656327e-17,2.57817206378238e-16,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_oligandrum","oomycetedb_769","100","100","100","100","100","100"," 79"," 75"
"ASV396","ASV396",14.4052136690192,7.05836057230052,2.72296581083311,2.59215908779294,0.00953756560669608,0.0497315920920581,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_rostratifingens","oomycetedb_80","100","100","100","100","100"," 91"," 73"," 69"
