"","ASV","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species","Reference","boot.Kingdom","boot.Phylum","boot.Class","boot.Order","boot.Family","boot.Genus","boot.Species","boot.Reference"
"ASV94","ASV94",114.173213681462,24.1976230451679,2.94502097432659,8.21645185420144,2.09612567734646e-16,4.82108905789686e-15,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Unclassified","Unclassified","Unclassified","100","100","100","100","100"," 28"," 28"," 28"
"ASV95","ASV95",118.128050717178,-8.2614699503377,2.92465810124352,-2.82476435342136,0.00473153996766167,0.0272063548140546,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Unclassified","Unclassified","100","100","100","100","100","100"," 35"," 35"
"ASV107","ASV107",40.0819604158193,-24.9260701477771,2.9453554271507,-8.4628394651474,2.60944803278616e-17,9.00259571311226e-16,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Unclassified","Unclassified","Unclassified","100","100","100"," 79"," 79"," 13","  6","  4"
"ASV111","ASV111",29.7598791254839,23.8145123137691,2.94548684945772,8.08508526125433,6.21207231929927e-16,1.07158247507912e-14,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Unclassified","Unclassified","100","100","100","100","100","100"," 19"," 19"
"ASV158","ASV158",90.1862522797044,-26.0034331262658,2.9450788146394,-8.82945237221086,1.05189465109537e-18,7.25807309255806e-17,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_abappressorium","Unclassified","100","100","100","100","100","100"," 98"," 50"
"ASV165","ASV165",8.22691821568782,22.0319388919045,2.94713028930159,7.47572612309775,7.67787117893293e-14,5.99626960740358e-13,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Unclassified","Unclassified","100","100","100"," 96"," 96"," 90"," 18"," 18"
"ASV167","ASV167",21.47878116571,-23.5500476656657,2.94578512851996,-7.99448929172163,1.30112066054423e-15,1.79554651155104e-14,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_ultimum","oomycetedb_93","100","100","100","100","100","100","100"," 97"
"ASV196","ASV196",9.97900448446255,22.3009253225188,2.94673197078096,7.56801960397111,3.78956812013097e-14,3.73543143270052e-13,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_ultimum","oomycetedb_93","100","100","100","100","100","100","100"," 99"
"ASV235","ASV235",8.20608381859137,22.024825600148,2.94713782971924,7.47329336892471,7.82122122704814e-14,5.99626960740358e-13,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_abappressorium","Unclassified","100","100","100","100","100","100"," 93"," 42"
"ASV237","ASV237",6.39629396812113,21.6782582224917,2.94778094446664,7.3540940222117,1.92226397314725e-13,1.20578376497419e-12,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Unclassified","Unclassified","100","100","100","100","100"," 91","  2","  2"
"ASV240","ASV240",12.4619094730912,22.6087955345092,2.94636027877896,7.67346603785971,1.67409872888521e-14,1.92521353821799e-13,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_oligandrum","oomycetedb_769","100","100","100","100","100","100"," 79"," 75"
"ASV318","ASV318",6.59546096391059,21.7227193878548,2.94768982384147,7.36940474949478,1.71391569774292e-13,1.18260183144261e-12,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_monospermum","oomycetedb_766","100","100","100","100","100","100","100","100"
