"","ASV","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species","Reference","boot.Kingdom","boot.Phylum","boot.Class","boot.Order","boot.Family","boot.Genus","boot.Species","boot.Reference"
"ASV1","ASV1",13109.7715184987,-5.14813683865742,2.08627884461286,-2.46761685378291,0.0136015818929751,0.0188329595441193,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_violae","oomycetedb_100","100","100","100","100","100","100"," 74"," 74"
"ASV5","ASV5",11855.9053238709,4.61485995692659,0.911876526218606,5.06083863794982,4.1741637440242e-07,6.98929743185447e-07,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_ultimum","oomycetedb_93","100","100","100","100","100","100","100"," 99"
"ASV13","ASV13",2927.9470487456,-14.8233892856197,1.40463394718417,-10.5532044952607,4.90935731815862e-26,1.7673686345371e-24,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Unclassified","Unclassified","100","100","100","100","100"," 65"," 34"," 34"
"ASV19","ASV19",2448.40669414873,14.83524969758,1.45188874186874,10.2178970535204,1.64878908735771e-24,2.37425628579511e-23,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Unclassified","Unclassified","100","100","100","100","100"," 93"," 40"," 40"
"ASV31","ASV31",1628.47835426292,4.53657571301628,1.50475972227924,3.01481734648293,0.00257134055485457,0.00385701083228186,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Unclassified","Unclassified","100","100","100","100","100","100"," 20"," 20"
"ASV32","ASV32",1137.78079415225,-13.4596764439129,1.60524374092804,-8.38481789446593,5.08043444934141e-17,1.92521726501359e-16,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_violae","oomycetedb_100","100","100","100","100","100","100"," 65"," 65"
"ASV39","ASV39",1361.38857067862,13.9884166062799,2.0745209395686,6.74296235794508,1.55189425945865e-11,3.01990234273034e-11,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_selbyi","oomycetedb_83","100","100","100","100","100"," 95"," 77"," 77"
"ASV58","ASV58",516.942988988719,-12.3215574041918,2.19717131309569,-5.60791838613233,2.04774542428873e-08,3.68594176371971e-08,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_rostratifingens","oomycetedb_80","100","100","100","100","100","100","100"," 93"
"ASV61","ASV61",648.925096755503,12.9193970984695,1.62873045075631,7.93218859048791,2.1531712352049e-15,5.53672603338402e-15,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Unclassified","Unclassified","100","100","100","100","100","100"," 50"," 50"
"ASV62","ASV62",541.029573447082,-12.3872555504264,2.21131966722988,-5.60174801228262,2.12200891630207e-08,3.72645468228657e-08,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Unclassified","Unclassified","100","100","100","100","100","100"," 12"," 12"
"ASV67","ASV67",452.520077488466,-12.1295429381628,2.19699472382687,-5.52097044504264,3.37132488086495e-08,5.77941408148277e-08,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Unclassified","Unclassified","100","100","100"," 89"," 89"," 86"," 19"," 19"
"ASV71","ASV71",527.130951108155,12.6195685462356,1.80126924853587,7.00593126568567,2.45348349501973e-12,4.90696699003945e-12,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Unclassified","Unclassified","100","100","100","100","100","100"," 30"," 30"
"ASV72","ASV72",360.138434126095,-11.8001882391134,1.76884943805032,-6.67110947109209,2.5387675128094e-11,4.81029634005992e-11,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Unclassified","Unclassified","Unclassified","100","100","100","100","100"," 15"," 15"," 15"
"ASV74","ASV74",347.023057814342,10.0828849583632,2.40394449239631,4.19430855839453,2.73705197983626e-05,4.37928316773801e-05,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_rostratifingens","oomycetedb_80","100","100","100","100","100","100","100"," 92"
"ASV80","ASV80",363.068479882588,-11.8118138021363,1.39717515156609,-8.45406804500957,2.8132523142741e-17,1.19149509781021e-16,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_violae","oomycetedb_100","100","100","100","100","100"," 93"," 65"," 65"
"ASV88","ASV88",262.02807174444,-27.4327018161541,2.57007407907512,-10.6738953711506,1.3485182165439e-26,9.7093311591161e-25,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Globisporangium_violae","oomycetedb_100","100","100","100","100","100","100"," 80"," 80"
"ASV92","ASV92",80.1268212187472,25.2424799453978,2.94512535607851,8.57093566265332,1.02647584891251e-17,4.61914132010627e-17,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Globisporangium","Unclassified","Unclassified","100","100","100","100","100"," 93"," 35"," 34"
"ASV94","ASV94",400.881321892491,-27.3200503883741,2.94490037279637,-9.27707118405232,1.74201085708964e-20,1.39360868567171e-19,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Unclassified","Unclassified","Unclassified","100","100","100","100","100"," 28"," 28"," 28"
