"","Kingdom","Phylum","Class","Order","Family","Genus","Species","Abundance","Prevalence","Total_Abundance","Percentage"
"1","Stramenopila","Oomycota","Oomycetes","Peronosporales","Peronosporaceae","Phytophthora","Phytophthora_gregata",1746,5,985293,0.177206171159239
"2","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_abappressorium",6020,8,985293,0.610985767685348
"3","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_apiculatum",9550,6,985293,0.969254830796524
"4","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_aristosporum",1108,2,985293,0.112453858902885
"5","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_carolinianum",1842,2,985293,0.186949465793424
"6","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_heterothallicum",103094,12,985293,10.4632835105902
"7","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_irregulare",8089,9,985293,0.820974065582522
"8","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_monospermum",841,2,985293,0.0853553207015578
"9","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_oligandrum",4379,5,985293,0.444436325032249
"10","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_recalcitrans",5609,5,985293,0.569272287532744
"11","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_rostratifingens",58263,18,985293,5.91326640907831
"12","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_selbyi",26117,9,985293,2.65068360376051
"13","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_sylvaticum",464678,13,985293,47.1614027502479
"14","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_ultimum",276061,23,985293,28.0181631250806
"15","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_uncinulatum",99,1,985293,0.0100477725915032
"16","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_vanterpoolii",10139,7,985293,1.02903400308335
"17","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_violae",1087,1,985293,0.110322513201657
"18","Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Pythium_volutum",6525,4,985293,0.662239557167259
"19","Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saplolegniaceae","Aphanomyces","Aphanomyces_euteiches",46,1,985293,0.00466866201221363
